"celex","date","dateforce","dateendvalid","lbs","lbcelex","lbsuffix","force","datetranspos"
"32003L0117","2003-12-05","2003-12-20","2010-12-31","0a070903-f5c5-41b9-93bf-ac0a0f525282","12002E093",NA,"false","2003-12-31"
"32000L0021","2000-04-25","2000-05-18","2008-05-31","8e12a450-cb71-4356-bd3b-8a9f980208a0","31967L0548","A13P1","false","2001-04-01"
"32011L0032","2011-03-08","2011-06-01","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A06P1","true","2011-11-30"
"31989L0083","1989-01-05","1989-01-06","2000-07-29","614e9335-f623-406c-987c-c5924e385170","31977L0093","A13P2","false","1989-01-01"
"31993L0027","1993-06-04","1993-07-22","1997-10-07","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A07","false","1994-03-31"
"31975L0696","1975-10-24","1975-10-30","1985-07-10","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A06P1","false","1976-07-01"
"31974L0331","1974-06-12","1974-06-21","2006-10-30","3e86759a-6471-4394-8294-32cd6d262d6c","31971L0316","A17","false","1975-06-20"
"31982L0624","1982-07-01","1982-07-22","2015-12-01","3e86759a-6471-4394-8294-32cd6d262d6c","31971L0316","A17","false","1983-05-01"
"31981L0006","1981-01-01","1981-01-19","2016-04-19","5885a96d-a0d4-450a-b641-961aee6f0174","11979H146",NA,"false","1981-12-31"
"31981L0187","1981-03-26","1981-03-30","1999-07-29","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
