"celex","date","dateforce","dateendvalid","lbs","lbcelex","lbsuffix","force","datetranspos"
"31964L0054","1963-11-05","1963-11-06","1995-03-25","0541bcd9-bacb-434c-a61f-d916be7b045f","11957E227","P2","false","1966-11-06"
"31990L0335","1990-06-07","1990-06-15","2009-11-27","e3b248ee-4150-4c50-985b-b94bb5b356fb","31979L0117","A06","false","1991-01-01"
"31990L0110","1990-02-19","1990-02-21","1991-05-18","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A07","false","1990-11-30"
"31983L0307","1983-06-13","1983-06-14","1987-01-01","8515b295-6207-4a57-805e-236a24d8fcd9","31969L0073","A18P4","false","1983-07-01"
"31997L0021","1997-04-18","1997-06-05","2013-12-30","c1eb9a66-d91a-4245-bcc8-4caa3e42be49","31980L1269","A03","false","1997-09-30"
"31998L0067","1998-09-07","1998-07-01","9999-12-31","4a44c841-03c0-4bf6-b8f3-36600a5a1ae6","31979L0373","A04P2","true","1998-12-31"
"32014L0069","2014-03-13","2014-06-09","9999-12-31","6be9a15c-0644-4f7d-9911-462a649b5c0c","32011L0065","A05P1PTA)","true","2014-12-31"
"32008L0065","2008-06-27","2008-07-18","2013-01-18","d796a580-6ef0-4ed8-b0cb-5fdef803cf0d","31991L0439","A7BIP2","false","2008-09-30"
"31997L0019","1997-04-18","1997-06-05","2014-10-31","6e641c52-27d3-43f0-9ec0-46277049f5e5","31970L0221","A03","false","1997-09-30"
"31990L0035","1989-12-19","1990-01-10","1999-07-29","48ed0d72-19be-421b-a3a6-9db2468bcf3a","31988L0379","A06P3","false","1990-12-31"
"32003L0078","2003-08-11","2003-09-01","2006-06-30","02c67ba9-51c1-45ab-8685-ac85ab96f560","31985L0591","A01","false","2004-09-01"
"32006L0127","2006-12-07","2006-12-28","9999-12-31","1364812d-2692-4cf9-9b03-3d79c9aeb7f1","32002L0055","A07P2PTB)","true","2007-06-30"
