"celex","date"
"32011R1107","2011-10-28"
"31994R1421","1994-06-22"
"31990R2348","1990-08-10"
"31995R2604","1995-11-08"
"31971R2651","1971-12-13"
"32003R0498","2003-03-19"
"31995R2081","1995-08-30"
"31970R1965","1970-10-01"
"31998R0037","1998-01-08"
"31990R0127","1990-01-19"
"32004R1776","2004-10-14"
"31973R3365","1973-12-14"
"31995R1677","1995-07-10"
"31993R3012","1993-10-30"
"31979R1597","1979-07-27"
"31995R1056","1995-05-11"
"31992R2357","1992-08-13"
"31994R0650","1994-03-24"
"31972R0916","1972-05-04"
"31975R2420","1975-09-24"
"31990R1427","1990-05-30"
"31991R0341","1991-02-12"
"31983R0478","1983-03-01"
"31980R1431","1980-06-07"
"31972R0340","1972-02-18"
"31987R3471","1987-11-20"
"31990R2033","1990-07-18"
"31993R0901","1993-04-17"
"31997R0771","1997-04-28"
"31993R0120","1993-01-23"
"31974R2674","1974-10-23"
"31990R2514","1990-09-01"
"31994R2123","1994-08-30"
"31992R2448","1992-08-25"
"31974R0672","1974-03-26"
"31990R2585","1990-09-06"
"31992R0299","1992-02-08"
"32000R2411","2000-10-30"
"32011R0491","2011-05-19"
"31989R4000","1989-12-29"
"31975R2418","1975-09-22"
"31992R1149","1992-05-06"
"31997R0986","1997-05-30"
"31994R3302","1994-12-21"
"31974R2252","1974-08-31"
"31993R0007","1993-01-07"
"31987R3313","1987-11-05"
"31979R2505","1979-11-15"
"31977R2609","1977-11-21"
"31997R0283","1997-02-17"
"31974R2428","1974-09-27"
"31984R2411","1984-08-23"
"31994R1212","1994-05-28"
"32014R0906","2014-03-11"
"31992R1808","1992-06-30"
"31984R3067","1984-11-01"
"31976R0631","1976-03-23"
"32007R1367","2007-11-22"
"32001R1380","2001-07-06"
"31993R2460","1993-09-04"
"32007R0612","2007-06-01"
"31998R0236","1998-01-29"
"31984R1922","1984-07-05"
"31994R1351","1994-06-14"
"31993R1107","1993-05-06"
"31988R2867","1988-09-15"
"31979R1712","1979-08-04"
"32000R0282","2000-02-04"
"31993R1281","1993-05-28"
"32011R1049","2011-10-20"
"31979R0305","1979-02-15"
"31991R0658","1991-03-20"
"31977R1943","1977-08-31"
"32007R0849","2007-07-19"
"32000R0149","2000-01-21"
"32004R1010","2004-05-24"
"31983R0742","1983-03-31"
"31983R1838","1983-07-05"
"31993R0813","1993-04-03"
"32003R1374","2003-07-31"
"32013R1156","2013-11-14"
"31992R1165","1992-05-05"
"31985R1748","1985-06-25"
"31994R0685","1994-03-29"
"31987R1193","1987-04-29"
"31985R3587","1985-12-16"
"31994R1519","1994-06-29"
"31991R1128","1991-05-03"
"31965R0049","1965-03-31"
"31983R1905","1983-07-11"
"32000R1941","2000-09-13"
"31984R3126","1984-11-09"
"31983R0082","1983-01-15"
"31969R1847","1969-09-19"
"31973R0268","1973-02-01"
"31970R0434","1970-03-06"
"31975R0648","1975-03-14"
"31999R0481","1999-03-04"
"31989R3390","1989-11-10"
"31982R0784","1982-04-03"
"31993R3065","1993-11-05"
"31971R1601","1971-07-27"
"31981R0309","1981-02-06"
"31989R3657","1989-12-08"
"31998R0865","1998-04-23"
"31989R1897","1989-06-28"
"31993R3208","1993-11-23"
"31990R2984","1990-10-17"
"31970R1064","1970-06-06"
"31991R0873","1991-04-10"
"32016R1614","2016-09-08"
"31999R0015","1999-01-07"
"32008R0086","2008-01-30"
"31974R3229","1974-12-20"
"31970R2072","1970-10-15"
"32011R1040","2011-10-17"
"31998R0162","1998-01-22"
"31995R1984","1995-08-10"
"32005R0680","2005-04-29"
"32000R2376","2000-10-26"
"32003R0690","2003-04-15"
"32013R1247","2013-11-28"
"31999R0345","1999-02-16"
"31969R2082","1969-10-24"
"31971R1246","1971-06-15"
"31999R0188","1999-01-27"
"31989R3035","1989-10-10"
"31988R3331","1988-10-28"
"31999R2083","1999-09-30"
"31971R0451","1971-03-03"
"31978R0239","1978-02-04"
"32005R0990","2005-06-29"
"31968R0302","1968-03-15"
"31992R1623","1992-06-25"
"32007R0120","2007-02-08"
"31964R0022","1964-03-06"
"32000R1749","2000-08-07"
"31980R2224","1980-08-22"
"31975R1401","1975-05-31"
"31994R0710","1994-03-30"
"31993R1180","1993-05-14"
"31985R1858","1985-07-03"
"32002R1631","2002-09-13"
"31983R0200","1983-01-24"
"32017R0656","2016-12-19"
"31969R0260","1969-02-12"
"31990R1017","1990-04-25"
"31999R2649","1999-12-15"
"31990R2844","1990-09-27"
"32002R2388","2002-12-30"
"31979R2045","1979-09-20"
"31989R1111","1989-04-27"
"31981R2457","1981-07-27"
"31974R3112","1974-12-02"
"31992R3916","1992-12-19"
"32005R1987","2005-12-02"
"31988R1108","1988-04-25"
"31991R2230","1991-06-17"
"31981R2455","1981-07-27"
"31981R2458","1981-07-27"
"31981R2459","1981-07-27"
"31990R2935","1990-10-09"
"31981R2456","1981-07-27"
"31984R1064","1984-04-16"
"31981R2454","1981-07-27"
"31984R2247","1984-07-30"
"31983R3349","1983-11-14"
"32008R0007","2008-01-07"
"31987R0514","1987-02-21"
"31974R3114","1974-12-12"
"31974R0363","1974-02-04"
"32005R1146","2005-07-15"
"31979R2792","1979-12-10"
"32014R1117","2014-10-22"
"31989R1529","1989-06-02"
"31979R3016","1979-12-18"
"31990R2082","1990-07-20"
"32004R0964","2004-05-13"
"31974R1938","1974-07-25"
"32006R0750","2006-05-18"
"31980R3469","1980-12-30"
"31997R0204","1997-02-03"
"31999R0409","1999-02-25"
"32013R1185","2013-11-21"
"32001R0116","2001-01-19"
"32006R1551","2006-10-17"
"31971R2489","1971-11-20"
"31999R0196","1999-01-28"
"31988R2711","1988-09-01"
"31977R1706","1977-07-26"
"32004R1167","2004-06-24"
"31986R0765","1986-03-14"
"31999R1938","1999-09-09"
"31980R3138","1980-12-04"
"31969R2485","1969-12-09"
"31987R3379","1987-11-11"
"31999R2029","1999-09-23"
"32000R0413","2000-02-24"
"32008R0699","2008-07-23"
"31993R2154","1993-07-31"
"31968R1874","1968-11-26"
"31974R0010","1974-01-03"
"31986R0689","1986-03-05"
"31993R0665","1993-03-24"
"32004R1936","2004-11-09"
"32002R0067","2002-01-15"
"31994R0100","1994-01-20"
"31971R1179","1971-06-04"
"31990R0359","1990-02-13"
"31982R2732","1982-10-13"
"31971R0909","1971-04-30"
"31981R1482","1981-06-02"
"31971R2572","1971-12-02"
"31975R1458","1975-06-06"
"32014R0740","2014-07-08"
"31988R3881","1988-12-15"
"31981R3480","1981-12-05"
"31973R0231","1973-01-31"
"31992R0722","1992-03-25"
"31973R2484","1973-09-14"
"31989R0548","1989-02-28"
"31990R2902","1990-10-09"
"31975R2676","1975-10-22"
"32006R0477","2006-03-23"
"32000R2772","2000-12-18"
"31973R3403","1973-12-19"
"32009R1088","2009-11-12"
"31986R0152","1986-01-25"
"31969R0727","1969-04-22"
"31974R1960","1974-07-25"
"32003R0034","2003-01-09"
"31984R1177","1984-05-01"
"31989R2452","1989-08-10"
"31993R0173","1993-01-30"
"31974R3293","1974-12-19"
"31982R2895","1982-10-30"
"31980R3273","1980-12-16"
"31973R1959","1973-07-20"
"31995R2362","1995-10-09"
"31990R3863","1990-12-29"
"32001R1950","2001-10-04"
"32003R0822","2003-05-12"
"31973R0866","1973-03-31"
"32003R1108","2003-06-26"
"31987R0145","1987-01-21"
"31974R2134","1974-08-09"
"31991R1206","1991-05-09"
"32004R2072","2004-12-02"
"32012R0392","2012-03-01"
"31992R0626","1992-03-13"
"31996R0376","1996-02-29"
"31976R2436","1976-10-06"
"31989R1431","1989-05-26"
"31972R1270","1972-06-21"
"31991R0040","1991-01-07"
"31978R0826","1978-04-26"
"32011R0112","2011-02-07"
"31971R2738","1971-12-22"
"32003R2123","2003-12-02"
"31989R0942","1989-04-13"
"31999R0243","1999-02-01"
"32009R0234","2009-03-19"
"31995R2790","1995-12-01"
"31975R0954","1975-04-12"
"31981R3205","1981-11-10"
"31986R0961","1986-04-03"
"31988R2287","1988-07-27"
"31970R1195","1970-06-26"
"31980R0768","1980-03-28"
"31985R0814","1985-03-29"
"31978R2039","1978-08-25"
"31973R3479","1973-12-28"
"32003R2056","2003-11-21"
"31986R2032","1986-06-30"
"32004R0402","2004-03-04"
"32001R2416","2001-12-11"
"31989R3180","1989-10-25"
"31979R1828","1979-08-20"
"32002R0404","2002-03-01"
"31990R1452","1990-06-04"
"32004R2278","2004-12-30"
"31993R3343","1993-12-04"
"31981R1530","1981-06-06"
"31994R0907","1994-04-26"
"31981R0967","1981-04-09"
"31976R2097","1976-08-26"
"31993R3392","1993-12-10"
"31988R1007","1988-04-16"
"31971R1541","1971-07-21"
"32017R0144","2017-01-26"
"31984R1606","1984-06-06"
"31990R3172","1990-11-01"
"31969R2118","1969-10-28"
"32004R0002","2004-01-02"
"31990R0148","1990-01-23"
"31984R0739","1984-03-22"
"31985R2894","1985-10-17"
"32000R2628","2000-11-30"
"31999R0644","1999-03-25"
"31991R0848","1991-04-06"
"32004R1885","2004-10-28"
"31997R1647","1997-08-19"
"31998R0282","1998-02-03"
"32010R0813","2010-09-15"
"31983R2863","1983-10-13"
"31995R2094","1995-08-31"
"31992R1254","1992-05-16"
"31998R1347","1998-06-26"
"32003R1107","2003-06-26"
"31997R1010","1997-06-04"
"31981R1021","1981-04-15"
"32014R0995","2014-09-18"
"31994R0026","1994-01-08"
"31972R0437","1972-03-02"
"31990R0841","1990-04-02"
"32015R1019","2015-06-29"
"32000R0591","2000-03-17"
"32013R0534","2013-06-10"
"31970R1267","1970-07-01"
"31971R1145","1971-06-03"
"31985R1689","1985-06-21"
"31988R1297","1988-05-12"
"31985R2230","1985-08-03"
"31985R0917","1985-04-04"
"31973R2350","1973-08-31"
"31974R1955","1974-07-26"
"32001R0346","2001-02-21"
"32002R1672","2002-09-19"
"32003R0640","2003-04-09"
"31978R3006","1978-12-20"
"31971R2856","1971-12-30"
"31973R0816","1973-03-28"
"31975R0480","1975-02-28"
"31975R1724","1975-07-04"
"32001R0470","2001-03-08"
"31982R1645","1982-06-15"
"31983R3370","1983-12-01"
"31976R0650","1976-03-24"
"31988R0352","1988-02-06"
"31982R2729","1982-10-13"
"31975R0564","1975-03-06"
"31995R1199","1995-05-29"
"31990R0273","1990-01-30"
"31993R2977","1993-10-28"
"31982R2641","1982-10-01"
"31992R2708","1992-09-17"
"31979R2930","1979-12-18"
"31999R2209","1999-10-18"
"31993R1776","1993-07-02"
"31978R2420","1978-10-18"
"31986R2034","1986-06-30"
"32016R1835","2016-10-17"
"31987R0475","1987-02-17"
"32016R0258","2016-02-24"
"31985R0728","1985-03-22"
"31985R2983","1985-10-26"
"31969R2599","1969-12-18"
"31992R1143","1992-05-05"
"31984R1853","1984-06-30"
"31971R1761","1971-08-12"
"31977R2853","1977-12-22"
"31982R1413","1982-05-18"
"31986R0932","1986-03-27"
"31973R0326","1973-02-09"
"31992R0787","1992-04-01"
